No,Nama Menu,Kategori,Kalori (kcal),Sumber Karbohidrat,Bahan Utama / Pendamping,Deskripsi Singkat
49,Ayam Serundeng,Ayam,395,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Ayam tabur serundeng kelapa, gurih, tumis sayur"
50,Pangsit Ayam & Yamin/Yahun,Ayam,395,"","Pakcoy, Snack","Pangsit ayam rebus, mie yamin/yahun sehat"
51,Creamy Chicken Mushroom,Ayam,395,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Sunny Egg","Ayam jamur saus krim, rendah lemak, lauk telur"
52,Buncis Sapi Lada Hitam,Sapi,395,"Ubi, Jagung, Nasi Merah, Nasi Putih","Tofu, Snack","Tumis buncis dan sapi cincang, saus lada hitam"
53,Ayam Bakar,Ayam,390,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tempe","Ayam bakar bumbu kecap, tumis sayur, lauk tempe"
54,Dori Salted Egg,Ikan,390,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Ikan dori saus telur asin, gurih, sayuran kukus"
55,Dori Sambal Ijo,Ikan,395,"Kentang, Nasi Merah, Nasi Putih","Clear Soup, Tofu","Ikan dori bumbu sambal ijo, disajikan sop, lauk tahu"
56,Chicken Patty Crispy,Ayam,390,"Jagung, Nasi Merah, Nasi Putih","Salad Sayur","Patty ayam renyah, disajikan dengan salad sayur"
57,Chicken Tomyum,Ayam,395,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Boiled Egg","Ayam kuah tomyum, asam pedas segar, lauk telur rebus"
58,Chicken BBQ Grill,Ayam,390,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Ayam panggang saus barbeque, sayuran kukus"
59,Dori Sambal Matah,Ikan,395,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Scramble Egg","Ikan dori, sambal matah segar, lauk telur orak-arik"
60,Longbun with Chicken Blackpepper,Ayam,400,"","Salad Sayur, Snack","Roti gandum, ayam lada hitam, disajikan dengan salad"
61,Soto Ayam Spesial,Ayam,395,"Bihun, Kentang, Nasi Merah, Nasi Putih","Sunny Egg, Kol, Tauge","Soto ayam kuah kuning, lauk lengkap, tanpa santan"
62,Bistik Sapi,Sapi,395,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Bistik daging sapi empuk, saus gurih, sayur kukus"
63,Sapi Cabe Garam,Sapi,390,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tempe","Daging sapi tumis cabe garam, pedas gurih, lauk tempe"
64,Bola Ayam Sambal Taichan,Ayam,395,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Bola ayam bakar, sambal taichan pedas asam"
65,Chicken Rolade,Ayam,395,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Rolade ayam kukus, disajikan tumis sayuran"
66,Dori Katsu Saus Asam Manis,Ikan,390,"Jagung, Nasi Merah, Nasi Putih","Sayur Sop, Tofu","Katsu ikan dori, saus asam manis, lauk sayur sop"
67,Baked Chicken Honey,Ayam,390,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Ayam panggang madu, bumbu meresap, tumis sayur"
68,Dori Stick,Ikan,400,"","Pasta Aglio E'olio, Steamed Vege, Snack","Stik ikan dori, pasta aglio eolio, sayuran kukus"
69,Rawon Surabaya (Sapi/Ayam),Lainnya,395,"Kentang, Nasi Merah, Nasi Putih","Boiled Egg, Tempe","Rawon kuah rempah, pilihan sapi atau ayam"
70,Chicken Ball Blackpepper,Ayam,395,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Bola ayam saus lada hitam, lauk tahu kukus"
71,Ayam Maranggi,Ayam,400,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tempe","Ayam bumbu maranggi, tumis sayur, lauk tempe"
72,Beef Patty Kastu,Sapi,395,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Sauce","Patty sapi panggang, saus kastu, sayuran kukus"
73,Dori Cabai Garam,Ikan,395,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Ikan dori tumis cabai garam, pedas gurih"
74,Chicken Grill Sambal Matah,Ayam,390,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Ayam panggang, sambal matah segar, sayur kukus"
75,Ayam Suwir Teriyaki,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Ayam suwir saus teriyaki, tumis sayuran"
76,Scotch Egg,Lainnya,395,"Jagung","Salad Sayur","Telur rebus dibalut daging, disajikan dengan salad"
77,Ayam Bumbu Kari,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Scramble Egg","Ayam bumbu kari, tanpa santan, lauk telur orak-arik"
78,Beef & Tofu Teriyaki,Sapi,400,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege","Daging sapi dan tahu, saus teriyaki, sayur kukus"
79,Dori Oat Saus Asam Manis,Ikan,395,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Ikan dori balut oat, saus asam manis, tumis sayur"
80,Ayam Bakar Padang,Ayam,395,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Tempe","Ayam bakar bumbu padang, tanpa santan, lauk tempe"
81,Ayam Maranggi,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Sunny Egg","Ayam bumbu maranggi, tumis sayur, lauk telur"
82,Bola Daging Saus Lada Hitam,Sapi,395,"Jagung, Nasi Merah, Nasi Putih","Salad Sayur","Bola daging sapi, saus lada hitam, disajikan salad"
83,Ayam Balado,Ayam,390,"Jagung, Nasi Merah, Nasi Putih","Sayur Bayam (+Wortel & Labu Siam), Snack","Ayam bumbu balado, tumis sayur bayam, wortel, labu"
84,Fish Stick Saus Wijen,Ikan,395,"Ubi, Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Puding Buah","Stik ikan saus wijen, sayur kukus, hidangan penutup"
85,Soto Bandung,Sapi,390,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Boiled Egg, Snack","Soto daging kuah bening, lobak, lauk telur rebus"
86,Chicken Katsu,Ayam,390,"Jagung, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Katsu ayam panggang, rendah minyak, disajikan salad"
87,Ayam Serundeng,Ayam,400,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tahu/Tempe","Ayam tabur serundeng, tumis sayur, lauk tahu/tempe"
88,Chicken Teriyaki Grill,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Scramble Egg","Ayam panggang teriyaki, lauk telur orak-arik"
89,Ikan Acar Kuning,Ikan,395,"Kentang, Nasi Merah, Nasi Putih","Perkedel Tahu, Snack","Ikan bumbu acar kuning, segar, lauk perkedel tahu"
90,Ayam Bakar (Bacem),Ayam,395,"Jagung, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Tempe Bacem","Ayam bakar bumbu bacem, manis gurih, lauk tempe"
91,Ayam Cabe Ijo,Ayam,400,"Jagung, Nasi Merah, Nasi Putih","Sayur Bayam, Snack/Sunny Egg","Ayam bumbu cabe ijo, tumis bayam, lauk telur"
92,Beef Bulgogi,Sapi,395,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Daging sapi bumbu bulgogi Korea, lauk tahu"
93,Ayam Sambel Geprek,Ayam,395,"Kentang, Nasi Merah, Nasi Putih","Sayur Sop, Snack","Ayam geprek, sambal pedas, disajikan sayur sop"
94,Pasta Aglio Eolio & Dori Stick,Ikan,395,"","Steamed Vege, Puding Buah","Pasta aglio eolio, stik dori, hidangan penutup"
95,Bistik Bola Sapi,Sapi,395,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Bola daging bistik, saus gurih, tumis sayur, tahu"
96,Scotch Egg,Lainnya,390,"Jagung, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Telur balut daging, disajikan dengan salad sayur"
97,Beef Yakiniku,Sapi,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu, Snack","Daging sapi yakiniku, tumis sayur, lauk tahu"
98,Cah Ayam Buncis,Ayam,395,"Jagung, Nasi Merah, Nasi Putih","Sunny Egg, Snack","Tumis buncis ayam cincang, lauk telur mata sapi"
99,Fish Katsu Saus Manis Pedas,Ikan,400,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Katsu ikan saus manis pedas, tumis sayuran"
100,Tumis Ayam Paprika,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Ayam tumis paprika, lauk tahu kukus, sayur kukus"
101,Rendang Ayam,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tempe","Rendang ayam tanpa santan, tumis sayur, lauk tempe"
102,Brokoli Sapi Lada Hitam,Sapi,400,"Jagung, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Tumis brokoli sapi lada hitam, sayuran kukus"
103,Opor Ayam (Tanpa Santan),Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Boiled Egg","Opor ayam kuah bening, tanpa santan, lauk telur"
104,Baked Chicken Honey,Ayam,395,"Jagung, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Ayam panggang madu, sayur kukus, lauk tahu"
105,Ikan Woku,Ikan,400,"Kentang, Nasi Merah, Nasi Putih","Sayur Bayam, Scramble Egg","Ikan bumbu woku pedas kemangi, lauk telur orak-arik"
106,Kebab Ayam,Ayam,395,"Jagung, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Daging kebab ayam, disajikan dengan salad sayur"
107,Chicken Blackpepper,Ayam,400,"Jagung, Nasi Merah, Nasi Putih","Tepanyaki, Scramble Egg","Ayam lada hitam, sayur tepanyaki, telur orak-arik"
108,Cah Buncis Sapi Cincang,Sapi,395,"Kentang, Nasi Merah, Nasi Putih","Tofu","Tumis buncis sapi cincang, lauk tahu"
109,Sapi Cabe Garam,Sapi,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Daging sapi tumis cabe garam, pedas gurih, tumis sayur"
110,Mie Ayam Sehat Spesial,Ayam,395,"","Steamed Vege, Tofu","Mie ayam sehat, sayuran kukus, lauk tahu"
111,Chicken Rolade,Ayam,395,"Jagung, Nasi Merah, Nasi Putih","Clear Soup","Rolade ayam kukus, disajikan dengan sop bening"
112,Dori Sambal Matah,Ikan,390,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege","Ikan dori, sambal matah segar, sayuran kukus"
113,Gulai Ikan,Ikan,400,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Tempe","Gulai ikan tanpa santan, sayur kukus, lauk tempe"
114,Chicken Ball Crispy,Ayam,395,"Jagung, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Bola ayam renyah, disajikan dengan salad sayur"
115,Soto Bandung,Sapi,395,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Boiled Egg","Soto daging kuah bening, lobak, lauk telur rebus"
116,Sempol Ayam Grill,Ayam,390,"Jagung, Ubi, Nasi Merah, Nasi Putih","Steamed Vege","Sempol ayam panggang, rendah minyak, sayur kukus"
117,Sapi Cabe Garam,Sapi,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Daging sapi tumis cabe garam, lauk tahu, tumis sayur"
118,Tumis Ayam Brokoli,Ayam,390,"Jagung, Nasi Merah, Nasi Putih","Snack","Tumis ayam dan brokoli, menu sehat klasik"
119,Soto Ayam Kuning,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Boiled Egg","Soto ayam bumbu kuning, tanpa santan, lauk telur"
120,Dori Oat Saus Wijen,Ikan,400,"Jagung, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Ikan dori balut oat, saus wijen gurih, sayur kukus"
121,Ikan Cabe Ijo,Ikan,400,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Ikan bumbu cabe ijo, tumis sayur, lauk tahu"
122,Ayam Bakar Padang,Ayam,400,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Tempe","Ayam bakar bumbu padang, tanpa santan, lauk tempe"
123,Rawon Surabaya,Sapi,400,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Boiled Egg","Daging rawon kuah rempah, sayur kukus, lauk telur"
124,Chicken Ball Crispy,Ayam,395,"Jagung, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Bola ayam renyah, disajikan dengan salad segar"
125,Chicken Teriyaki Grill,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Ayam panggang teriyaki, tumis sayuran"
126,Pangsit Ayam Kuah,Ayam,395,"Kentang, Nasi Merah, Nasi Putih","Baso Ayam, Steamed Vege","Pangsit ayam rebus, kuah kaldu, bakso ayam"
127,Soto Betawi (Tanpa Santan),Sapi,400,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Boiled Egg","Soto betawi kuah bening, tanpa santan, lauk telur"
128,Ayam Serundeng & Sambal Korek,Ayam,400,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tempe","Ayam serundeng, sambal korek pedas, lauk tempe"
129,Dori Chips Saus Asam Manis,Ikan,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Keping dori renyah, saus asam manis, tumis sayur"
130,Chicken Blackpepper & Egg Tortila,Ayam,395,"Jagung, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Ayam lada hitam, disajikan dengan tortila telur"
131,Beef Bulgogi,Sapi,400,"Jagung, Nasi Merah, Nasi Putih","Tepanyaki, Tofu","Daging sapi bulgogi, sayur tepanyaki, lauk tahu"
132,Chicken Karage Saus Korea,Ayam,395,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Karage ayam (panggang), saus korea pedas manis"
133,Chicken Sandwich,Ayam,395,"Jagung, Nasi Merah, Nasi Putih","Salad Sayur, Sunny Egg","Sandwich ayam (tanpa roti), salad, lauk telur"
134,Sei Ayam with Brown Rice Spesial,Ayam,427,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Menu Sei Ayam with Brown Rice Spesial yang sehat dan lezat."
135,Chicken Potatoes Bowl,Ayam,380,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Chicken Potatoes Bowl yang sehat dan lezat."
136,Sei Sapi Box,Sapi,355,"Jagung, Nasi Merah, Kentang","Salad Sayur","Menu Sei Sapi Box yang sehat dan lezat."
137,Grilled Chicken with Lemonilo Healthy,Ayam,449,"Jagung, Nasi Merah, Kentang","Steamed Vege, Tofu","Menu Grilled Chicken with Lemonilo Healthy yang sehat dan lezat."
138,with/Brown|Rice (with\Potate| Wedges Healthy,Lainnya,419,"Jagung, Nasi Merah, Kentang","Steamed Vege, Sunny Egg","Menu with/Brown|Rice (with\Potate| Wedges Healthy yang sehat dan lezat."
139,Grilled Chicken 400 Keal Premium,Ayam,356,"Kentang, Nasi Merah, Nasi Putih","Salad Sayur","Menu Grilled Chicken 400 Keal Premium yang sehat dan lezat."
140,with Brown Rice Box,Lainnya,369,"Jagung, Nasi Merah, Kentang","Steamed Vege, Snack","Menu with Brown Rice Box yang sehat dan lezat."
141,Japanese Beef Gyudon with Brown Rice Bowl,Sapi,355,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Menu Japanese Beef Gyudon with Brown Rice Bowl yang sehat dan lezat."
142,AYAM BAKAR Bowl,Ayam,430,"Kentang, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Menu AYAM BAKAR Bowl yang sehat dan lezat."
143,Sei Ayam with Lemonilo Premium,Ayam,418,"Jagung, Nasi Merah, Kentang","Steamed Vege, Snack","Menu Sei Ayam with Lemonilo Premium yang sehat dan lezat."
144,Soto Ayam Spesial Spesial,Ayam,360,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Menu Soto Ayam Spesial Spesial yang sehat dan lezat."
145,Rawon Surabaya (Sapi/Ayam) Premium,Lainnya,417,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Rawon Surabaya (Sapi/Ayam) Premium yang sehat dan lezat."
146,Dori Oat Saus Wijen Premium,Ikan,423,"Kentang, Ubi, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Dori Oat Saus Wijen Premium yang sehat dan lezat."
147,Konsumsi Dada Ayam Healthy,Ayam,436,"Jagung, Nasi Merah, Kentang","Tumis Sayur, Snack","Menu Konsumsi Dada Ayam Healthy yang sehat dan lezat."
148,Sapi Cabe Garam Spesial,Sapi,433,"Kentang, Nasi Merah, Nasi Putih","Salad Sayur","Menu Sapi Cabe Garam Spesial yang sehat dan lezat."
149,Brown Rice ce Apple Tea Saldo Gopay Diet,Lainnya,429,"Kentang, Ubi, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Brown Rice ce Apple Tea Saldo Gopay Diet yang sehat dan lezat."
150,Chicken Tomyum Box,Ayam,370,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Menu Chicken Tomyum Box yang sehat dan lezat."
151,Ayam Saus Mentega Diet,Ayam,434,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Ayam Saus Mentega Diet yang sehat dan lezat."
152,Dori Chips Saus Asam Manis Lengkap,Ikan,398,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Dori Chips Saus Asam Manis Lengkap yang sehat dan lezat."
153,Dori Salted Egg Bowl,Ikan,447,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Dori Salted Egg Bowl yang sehat dan lezat."
154,RECHARGE WITH SE'l SAPI Lengkap,Sapi,427,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu RECHARGE WITH SE'l SAPI Lengkap yang sehat dan lezat."
155,Dori Katsu Saus Asam Manis Premium,Ikan,439,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Menu Dori Katsu Saus Asam Manis Premium yang sehat dan lezat."
156,Ayam Maranggi Bowl,Ayam,405,"Kentang, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Menu Ayam Maranggi Bowl yang sehat dan lezat."
157,Daging Ayam Bowl,Ayam,395,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Menu Daging Ayam Bowl yang sehat dan lezat."
158,Sei Sapi with Potatoes Diet,Sapi,419,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu Sei Sapi with Potatoes Diet yang sehat dan lezat."
159,Soto Ayam Kuning Box,Ayam,418,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Soto Ayam Kuning Box yang sehat dan lezat."
160,Soto Bandung Lengkap,Sapi,355,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Menu Soto Bandung Lengkap yang sehat dan lezat."
161,Pasta Aglio Eolio & Dori Stick Diet,Ikan,395,"Kentang, Ubi, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Pasta Aglio Eolio & Dori Stick Diet yang sehat dan lezat."
162,Opor Ayam (Tanpa Santan) Lengkap,Ayam,360,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Menu Opor Ayam (Tanpa Santan) Lengkap yang sehat dan lezat."
163,Chicken Blackpepper Bowl,Ayam,379,"Kentang, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Menu Chicken Blackpepper Bowl yang sehat dan lezat."
164,Sapi Cabe Garam Box,Sapi,373,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Menu Sapi Cabe Garam Box yang sehat dan lezat."
