No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,corpus,Karbo_Clean,Nama_Lower,Deskripsi_Lower,Keyword_Semantik,enhanced_corpus,enhanced_corpus_mccbf,corpus_rf,Prediksi,Benar
129,Dori Keripik Saus Asam Manis,ikan,400,kentang nasi merah nasi putih,keping dori renyah saus asam manis tumis sayur,"['nasi', 'putih', 'kentang', 'merah']",dori chips saus asam manis ikan kentang nasi merah nasi putih keping dori renyah saus asam manis tumis sayur,"kentang, nasi merah, nasi putih",dori keripik saus asam manis,keping dori renyah saus asam manis tumis sayur,protein_ikan manis,dori keripik saus asam manis protein_ikan flavored,dori keripik saus asam manis keping dori renyah saus asam manis tumis sayur nasi putih kentang merah protein_ikan manis,dori keripik saus asam manis keping dori renyah saus asam manis tumis sayur,ikan,True
466,Tempe Sambal Ijo,vegetarian,265,nasi merah,tempe dengan sambal ijo pedas segar tanpa santan,"['nasi', 'merah']",tempe sambal ijo vegetarian nasi merah tempe dengan sambal ijo pedas segar tanpa santan,nasi merah,tempe sambal ijo,tempe dengan sambal ijo pedas segar tanpa santan,protein_vegetarian,tempe sambal ijo protein_vegetarian,tempe sambal ijo tempe dengan sambal ijo pedas segar tanpa santan nasi merah protein_vegetarian,tempe sambal ijo tempe dengan sambal ijo pedas segar tanpa santan,vegetarian,True
244,Ayam Teriyaki Panggang Sehat,ayam,437,kentang nasi merah nasi putih,menu chicken teriyaki grill healthy yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",chicken teriyaki grill healthy ayam kentang nasi merah nasi putih menu chicken teriyaki grill healthy yang sehat dan lezat,"kentang, nasi merah, nasi putih",ayam teriyaki panggang sehat,menu chicken teriyaki grill healthy yang sehat dan lezat,protein_ayam panggang teriyaki,ayam teriyaki panggang sehat protein_ayam cooked flavored,ayam teriyaki panggang sehat menu chicken teriyaki grill healthy yang sehat dan lezat nasi putih kentang merah protein_ayam panggang teriyaki,ayam teriyaki panggang sehat menu chicken teriyaki grill healthy yang sehat dan lezat,ayam,True
85,Soto Bandung,ayam,390,kentang nasi merah nasi putih,soto daging kuah bening lobak lauk telur rebus,"['nasi', 'putih', 'kentang', 'merah']",soto bandung sapi kentang nasi merah nasi putih soto daging kuah bening lobak lauk telur rebus,"kentang, nasi merah, nasi putih",soto bandung,soto daging kuah bening lobak lauk telur rebus,,soto bandung soto bandung,soto bandung soto daging kuah bening lobak lauk telur rebus nasi putih kentang merah ,soto bandung soto daging kuah bening lobak lauk telur rebus,ayam,True
86,Ayam Katsu,ayam,390,jagung ubi nasi merah nasi putih,katsu ayam panggang rendah minyak disajikan salad,"['nasi', 'merah', 'ubi', 'putih', 'jagung']",chicken katsu ayam jagung ubi nasi merah nasi putih katsu ayam panggang rendah minyak disajikan salad,"jagung, ubi, nasi merah, nasi putih",ayam katsu,katsu ayam panggang rendah minyak disajikan salad,protein_ayam,ayam katsu protein_ayam,ayam katsu katsu ayam panggang rendah minyak disajikan salad nasi merah ubi putih jagung protein_ayam,ayam katsu katsu ayam panggang rendah minyak disajikan salad,ayam,True
385,Udang Cake Thailand Saus,ikan,538,nasi hitam,menu prawn cake thailand sauce ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'hitam']",prawn cake thailand sauce ikan nasi hitam menu prawn cake thailand sauce ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam,udang cake thailand saus,menu prawn cake thailand sauce ala yellow fit kitchen rendah kalori dan bergizi,,udang cake thailand saus protein_ikan flavored,udang cake thailand saus menu prawn cake thailand sauce ala yellow fit kitchen rendah kalori dan bergizi nasi hitam ,udang cake thailand saus menu prawn cake thailand sauce ala yellow fit kitchen rendah kalori dan bergizi,ikan,True
12,Ayam Patty Krispi,ayam,390,kentang nasi merah nasi putih,patty ayam renyah disajikan dengan telur mata sapi,"['nasi', 'putih', 'kentang', 'merah']",chicken patty crispy ayam kentang nasi merah nasi putih patty ayam renyah disajikan dengan telur mata sapi,"kentang, nasi merah, nasi putih",ayam patty krispi,patty ayam renyah disajikan dengan telur mata sapi,protein_ayam,ayam patty krispi protein_ayam,ayam patty krispi patty ayam renyah disajikan dengan telur mata sapi nasi putih kentang merah protein_ayam,ayam patty krispi patty ayam renyah disajikan dengan telur mata sapi,ayam,True
313,Mac Diet Panas Spesial,ayam,527,nasi merah,menu mac diet panas special ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",mac diet panas special lainnya nasi merah menu mac diet panas special ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,mac diet panas spesial,menu mac diet panas special ala yellow fit kitchen rendah kalori dan bergizi,,mac diet panas spesial mac diet panas spesial,mac diet panas spesial menu mac diet panas special ala yellow fit kitchen rendah kalori dan bergizi nasi merah ,mac diet panas spesial menu mac diet panas special ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
145,Rawon Surabaya Sapi Ayam Premium,ayam,417,jagung nasi merah nasi putih,menu rawon surabaya sapi ayam premium yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",rawon surabaya sapi ayam premium lainnya jagung nasi merah nasi putih menu rawon surabaya sapi ayam premium yang sehat dan lezat,"jagung, nasi merah, nasi putih",rawon surabaya sapi ayam premium,menu rawon surabaya sapi ayam premium yang sehat dan lezat,protein_ayam protein_sapi,rawon surabaya sapi ayam premium protein_ayam protein_sapi,rawon surabaya sapi ayam premium menu rawon surabaya sapi ayam premium yang sehat dan lezat nasi putih jagung merah protein_ayam protein_sapi,rawon surabaya sapi ayam premium menu rawon surabaya sapi ayam premium yang sehat dan lezat,ayam,True
248,Japanese Sapi Gyudon Dengan Lemonilo Premium,sapi,410,kentang ubi nasi merah nasi putih,menu japanese beef gyudon with lemonilo premium yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",japanese beef gyudon with lemonilo premium sapi kentang ubi nasi merah nasi putih menu japanese beef gyudon with lemonilo premium yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",japanese sapi gyudon dengan lemonilo premium,menu japanese beef gyudon with lemonilo premium yang sehat dan lezat,protein_sapi,japanese sapi gyudon dengan lemonilo premium protein_sapi,japanese sapi gyudon dengan lemonilo premium menu japanese beef gyudon with lemonilo premium yang sehat dan lezat nasi merah ubi putih kentang protein_sapi,japanese sapi gyudon dengan lemonilo premium menu japanese beef gyudon with lemonilo premium yang sehat dan lezat,sapi,True
368,Salmon Red Thai Kari Yellowfit,ikan,535,jagung,menu salmon red thai curry yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],salmon red thai curry yellowfit ikan jagung menu salmon red thai curry yellowfit ala yellow fit kitchen rendah kalori dan bergizi,jagung,salmon red thai kari yellowfit,menu salmon red thai curry yellowfit ala yellow fit kitchen rendah kalori dan bergizi,protein_ikan,salmon red thai kari yellowfit protein_ikan flavored,salmon red thai kari yellowfit menu salmon red thai curry yellowfit ala yellow fit kitchen rendah kalori dan bergizi jagung protein_ikan,salmon red thai kari yellowfit menu salmon red thai curry yellowfit ala yellow fit kitchen rendah kalori dan bergizi,ikan,True
78,Sapi Tofu Teriyaki,sapi,400,jagung nasi merah nasi putih,daging sapi dan tahu saus teriyaki sayur kukus,"['nasi', 'putih', 'jagung', 'merah']",beef tofu teriyaki sapi jagung nasi merah nasi putih daging sapi dan tahu saus teriyaki sayur kukus,"jagung, nasi merah, nasi putih",sapi tofu teriyaki,daging sapi dan tahu saus teriyaki sayur kukus,protein_sapi teriyaki,sapi tofu teriyaki protein_sapi flavored,sapi tofu teriyaki daging sapi dan tahu saus teriyaki sayur kukus nasi putih jagung merah protein_sapi teriyaki,sapi tofu teriyaki daging sapi dan tahu saus teriyaki sayur kukus,sapi,True
249,Ayam Serundeng Sehat,ayam,425,jagung nasi merah nasi putih,menu ayam serundeng healthy yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",ayam serundeng healthy ayam jagung nasi merah nasi putih menu ayam serundeng healthy yang sehat dan lezat,"jagung, nasi merah, nasi putih",ayam serundeng sehat,menu ayam serundeng healthy yang sehat dan lezat,protein_ayam,ayam serundeng sehat protein_ayam,ayam serundeng sehat menu ayam serundeng healthy yang sehat dan lezat nasi putih jagung merah protein_ayam,ayam serundeng sehat menu ayam serundeng healthy yang sehat dan lezat,ayam,True
92,Sapi Bulgogi,sapi,395,kentang nasi merah nasi putih,daging sapi bumbu bulgogi korea lauk tahu,"['nasi', 'putih', 'kentang', 'merah']",beef bulgogi sapi kentang nasi merah nasi putih daging sapi bumbu bulgogi korea lauk tahu,"kentang, nasi merah, nasi putih",sapi bulgogi,daging sapi bumbu bulgogi korea lauk tahu,protein_sapi,sapi bulgogi protein_sapi,sapi bulgogi daging sapi bumbu bulgogi korea lauk tahu nasi putih kentang merah protein_sapi,sapi bulgogi daging sapi bumbu bulgogi korea lauk tahu,sapi,True
97,Sapi Yakiniku,sapi,400,kentang nasi merah nasi putih,daging sapi yakiniku tumis sayur lauk tahu,"['nasi', 'putih', 'kentang', 'merah']",beef yakiniku sapi kentang nasi merah nasi putih daging sapi yakiniku tumis sayur lauk tahu,"kentang, nasi merah, nasi putih",sapi yakiniku,daging sapi yakiniku tumis sayur lauk tahu,protein_sapi,sapi yakiniku protein_sapi,sapi yakiniku daging sapi yakiniku tumis sayur lauk tahu nasi putih kentang merah protein_sapi,sapi yakiniku daging sapi yakiniku tumis sayur lauk tahu,sapi,True
219,Ayam Saus Mentega Paket,ayam,351,kentang nasi merah nasi putih,menu ayam saus mentega box yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",ayam saus mentega box ayam kentang nasi merah nasi putih menu ayam saus mentega box yang sehat dan lezat,"kentang, nasi merah, nasi putih",ayam saus mentega paket,menu ayam saus mentega box yang sehat dan lezat,protein_ayam,ayam saus mentega paket protein_ayam flavored,ayam saus mentega paket menu ayam saus mentega box yang sehat dan lezat nasi putih kentang merah protein_ayam,ayam saus mentega paket menu ayam saus mentega box yang sehat dan lezat,ayam,True
136,Sei Sapi Paket,sapi,355,jagung nasi merah kentang,menu sei sapi box yang sehat dan lezat,"['nasi', 'kentang', 'jagung', 'merah']",sei sapi box sapi jagung nasi merah kentang menu sei sapi box yang sehat dan lezat,"jagung, nasi merah, kentang",sei sapi paket,menu sei sapi box yang sehat dan lezat,protein_sapi,sei sapi paket protein_sapi,sei sapi paket menu sei sapi box yang sehat dan lezat nasi kentang jagung merah protein_sapi,sei sapi paket menu sei sapi box yang sehat dan lezat,sapi,True
266,Bola Daging Teriyaki Paket,sapi,355,kentang nasi merah nasi putih,menu bola daging teriyaki box yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",bola daging teriyaki box sapi kentang nasi merah nasi putih menu bola daging teriyaki box yang sehat dan lezat,"kentang, nasi merah, nasi putih",bola daging teriyaki paket,menu bola daging teriyaki box yang sehat dan lezat,protein_sapi teriyaki,bola daging teriyaki paket protein_sapi flavored,bola daging teriyaki paket menu bola daging teriyaki box yang sehat dan lezat nasi putih kentang merah protein_sapi teriyaki,bola daging teriyaki paket menu bola daging teriyaki box yang sehat dan lezat,sapi,True
118,Tumis Ayam Brokoli,ayam,390,jagung nasi merah nasi putih,tumis ayam dan brokoli menu sehat klasik,"['nasi', 'putih', 'jagung', 'merah']",tumis ayam brokoli ayam jagung nasi merah nasi putih tumis ayam dan brokoli menu sehat klasik,"jagung, nasi merah, nasi putih",tumis ayam brokoli,tumis ayam dan brokoli menu sehat klasik,protein_ayam,tumis ayam brokoli protein_ayam,tumis ayam brokoli tumis ayam dan brokoli menu sehat klasik nasi putih jagung merah protein_ayam,tumis ayam brokoli tumis ayam dan brokoli menu sehat klasik,ayam,True
104,Panggang Ayam Madu,ayam,395,jagung ubi nasi merah nasi putih,ayam panggang madu sayur kukus lauk tahu,"['nasi', 'merah', 'ubi', 'putih', 'jagung']",baked chicken honey ayam jagung ubi nasi merah nasi putih ayam panggang madu sayur kukus lauk tahu,"jagung, ubi, nasi merah, nasi putih",panggang ayam madu,ayam panggang madu sayur kukus lauk tahu,protein_ayam panggang,panggang ayam madu protein_ayam cooked,panggang ayam madu ayam panggang madu sayur kukus lauk tahu nasi merah ubi putih jagung protein_ayam panggang,panggang ayam madu ayam panggang madu sayur kukus lauk tahu,ayam,True
237,Sapi Yakiniku Paket,sapi,355,kentang ubi nasi merah nasi putih,menu beef yakiniku box yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",beef yakiniku box sapi kentang ubi nasi merah nasi putih menu beef yakiniku box yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",sapi yakiniku paket,menu beef yakiniku box yang sehat dan lezat,protein_sapi,sapi yakiniku paket protein_sapi,sapi yakiniku paket menu beef yakiniku box yang sehat dan lezat nasi merah ubi putih kentang protein_sapi,sapi yakiniku paket menu beef yakiniku box yang sehat dan lezat,sapi,True
5,Rawon Surabaya,sapi,400,kentang nasi merah nasi putih,daging rawon empuk kuah rempah lauk tempe,"['nasi', 'putih', 'kentang', 'merah']",rawon surabaya sapi kentang nasi merah nasi putih daging rawon empuk kuah rempah lauk tempe,"kentang, nasi merah, nasi putih",rawon surabaya,daging rawon empuk kuah rempah lauk tempe,,rawon surabaya protein_sapi,rawon surabaya daging rawon empuk kuah rempah lauk tempe nasi putih kentang merah ,rawon surabaya daging rawon empuk kuah rempah lauk tempe,sapi,True
200,Japanese Sapi Gyudon Dengan Lemonilo Premium,sapi,423,kentang nasi merah nasi putih,menu japanese beef gyudon with lemonilo premium yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",japanese beef gyudon with lemonilo premium sapi kentang nasi merah nasi putih menu japanese beef gyudon with lemonilo premium yang sehat dan lezat,"kentang, nasi merah, nasi putih",japanese sapi gyudon dengan lemonilo premium,menu japanese beef gyudon with lemonilo premium yang sehat dan lezat,protein_sapi,japanese sapi gyudon dengan lemonilo premium protein_sapi,japanese sapi gyudon dengan lemonilo premium menu japanese beef gyudon with lemonilo premium yang sehat dan lezat nasi putih kentang merah protein_sapi,japanese sapi gyudon dengan lemonilo premium menu japanese beef gyudon with lemonilo premium yang sehat dan lezat,sapi,True
345,Panggang Ikan Mozaru Chef S Choice,ikan,539,nasi merah,menu baked fish mozaru chef s choice ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",baked fish mozaru chef s choice ikan nasi merah menu baked fish mozaru chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,panggang ikan mozaru chef s choice,menu baked fish mozaru chef s choice ala yellow fit kitchen rendah kalori dan bergizi,protein_ikan panggang,panggang ikan mozaru chef s choice protein_ikan cooked,panggang ikan mozaru chef s choice menu baked fish mozaru chef s choice ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein_ikan panggang,panggang ikan mozaru chef s choice menu baked fish mozaru chef s choice ala yellow fit kitchen rendah kalori dan bergizi,ikan,True
488,Jamur Saus Tiram,vegetarian,240,nasi putih,tumis jamur dengan saus tiram vegetarian,"['nasi', 'putih']",jamur saus tiram vegetarian nasi putih tumis jamur dengan saus tiram vegetarian,nasi putih,jamur saus tiram,tumis jamur dengan saus tiram vegetarian,protein_vegetarian,jamur saus tiram protein_vegetarian flavored,jamur saus tiram tumis jamur dengan saus tiram vegetarian nasi putih protein_vegetarian,jamur saus tiram tumis jamur dengan saus tiram vegetarian,vegetarian,True
484,Pepes Jamur,vegetarian,220,nasi merah,jamur dibumbui rempah dan dikukus dalam daun pisang,"['nasi', 'merah']",pepes jamur vegetarian nasi merah jamur dibumbui rempah dan dikukus dalam daun pisang,nasi merah,pepes jamur,jamur dibumbui rempah dan dikukus dalam daun pisang,protein_vegetarian,pepes jamur protein_vegetarian,pepes jamur jamur dibumbui rempah dan dikukus dalam daun pisang nasi merah protein_vegetarian,pepes jamur jamur dibumbui rempah dan dikukus dalam daun pisang,vegetarian,True
370,Ayam Telur Okonomiyaki Spesial,ayam,513,nasi hitam,menu chicken egg okonomiyaki special ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'hitam']",chicken egg okonomiyaki special ayam nasi hitam menu chicken egg okonomiyaki special ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam,ayam telur okonomiyaki spesial,menu chicken egg okonomiyaki special ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam,ayam telur okonomiyaki spesial protein_ayam,ayam telur okonomiyaki spesial menu chicken egg okonomiyaki special ala yellow fit kitchen rendah kalori dan bergizi nasi hitam protein_ayam,ayam telur okonomiyaki spesial menu chicken egg okonomiyaki special ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
327,Hamburg Stik Saus Teriyaki Chef S Choice,ayam,522,nasi merah,menu hamburg steak saus teriyaki chef s choice ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",hamburg steak saus teriyaki chef s choice sapi nasi merah menu hamburg steak saus teriyaki chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,hamburg stik saus teriyaki chef s choice,menu hamburg steak saus teriyaki chef s choice ala yellow fit kitchen rendah kalori dan bergizi,teriyaki,hamburg stik saus teriyaki chef s choice flavored,hamburg stik saus teriyaki chef s choice menu hamburg steak saus teriyaki chef s choice ala yellow fit kitchen rendah kalori dan bergizi nasi merah teriyaki,hamburg stik saus teriyaki chef s choice menu hamburg steak saus teriyaki chef s choice ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
95,Bistik Bola Sapi,sapi,395,kentang nasi merah nasi putih,bola daging bistik saus gurih tumis sayur tahu,"['nasi', 'putih', 'kentang', 'merah']",bistik bola sapi sapi kentang nasi merah nasi putih bola daging bistik saus gurih tumis sayur tahu,"kentang, nasi merah, nasi putih",bistik bola sapi,bola daging bistik saus gurih tumis sayur tahu,protein_sapi,bistik bola sapi protein_sapi,bistik bola sapi bola daging bistik saus gurih tumis sayur tahu nasi putih kentang merah protein_sapi,bistik bola sapi bola daging bistik saus gurih tumis sayur tahu,sapi,True
132,Ayam Karage Saus Korea,ayam,395,kentang ubi nasi merah nasi putih,karage ayam panggang saus korea pedas manis,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",chicken karage saus korea ayam kentang ubi nasi merah nasi putih karage ayam panggang saus korea pedas manis,"kentang, ubi, nasi merah, nasi putih",ayam karage saus korea,karage ayam panggang saus korea pedas manis,protein_ayam,ayam karage saus korea protein_ayam flavored,ayam karage saus korea karage ayam panggang saus korea pedas manis nasi merah ubi putih kentang protein_ayam,ayam karage saus korea karage ayam panggang saus korea pedas manis,ayam,True
214,Ayam Rolade Sehat,ayam,449,jagung nasi merah nasi putih,menu chicken rolade healthy yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",chicken rolade healthy ayam jagung nasi merah nasi putih menu chicken rolade healthy yang sehat dan lezat,"jagung, nasi merah, nasi putih",ayam rolade sehat,menu chicken rolade healthy yang sehat dan lezat,protein_ayam,ayam rolade sehat protein_ayam,ayam rolade sehat menu chicken rolade healthy yang sehat dan lezat nasi putih jagung merah protein_ayam,ayam rolade sehat menu chicken rolade healthy yang sehat dan lezat,ayam,True
148,Sapi Cabe Garam Spesial,sapi,433,kentang nasi merah nasi putih,menu sapi cabe garam spesial yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",sapi cabe garam spesial sapi kentang nasi merah nasi putih menu sapi cabe garam spesial yang sehat dan lezat,"kentang, nasi merah, nasi putih",sapi cabe garam spesial,menu sapi cabe garam spesial yang sehat dan lezat,protein_sapi,sapi cabe garam spesial protein_sapi,sapi cabe garam spesial menu sapi cabe garam spesial yang sehat dan lezat nasi putih kentang merah protein_sapi,sapi cabe garam spesial menu sapi cabe garam spesial yang sehat dan lezat,sapi,True
347,Ginger Ayam Ramen Kuroda Spesial,ayam,543,nasi merah,menu ginger chicken ramen kuroda special ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",ginger chicken ramen kuroda special ayam nasi merah menu ginger chicken ramen kuroda special ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,ginger ayam ramen kuroda spesial,menu ginger chicken ramen kuroda special ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam,ginger ayam ramen kuroda spesial protein_ayam,ginger ayam ramen kuroda spesial menu ginger chicken ramen kuroda special ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein_ayam,ginger ayam ramen kuroda spesial menu ginger chicken ramen kuroda special ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
333,Soto Betawi Ayam,ayam,547,pasta,menu soto betawi ayam ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],soto betawi ayam ayam pasta menu soto betawi ayam ala yellow fit kitchen rendah kalori dan bergizi,pasta,soto betawi ayam,menu soto betawi ayam ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam,soto betawi ayam protein_ayam,soto betawi ayam menu soto betawi ayam ala yellow fit kitchen rendah kalori dan bergizi pasta protein_ayam,soto betawi ayam menu soto betawi ayam ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
66,Dori Katsu Saus Asam Manis,ikan,390,jagung nasi merah nasi putih,katsu ikan dori saus asam manis lauk sayur sop,"['nasi', 'putih', 'jagung', 'merah']",dori katsu saus asam manis ikan jagung nasi merah nasi putih katsu ikan dori saus asam manis lauk sayur sop,"jagung, nasi merah, nasi putih",dori katsu saus asam manis,katsu ikan dori saus asam manis lauk sayur sop,protein_ikan manis,dori katsu saus asam manis protein_ikan flavored,dori katsu saus asam manis katsu ikan dori saus asam manis lauk sayur sop nasi putih jagung merah protein_ikan manis,dori katsu saus asam manis katsu ikan dori saus asam manis lauk sayur sop,ikan,True
